business_name,industry,business_type,size_of_business,website,website_qr,sell_products_online,tools_used,manage_customer_interactions,business_challenges,recommended_tools,social_media_followers,monthly_sales,ad_spend,customer_engagement
Yoder PLC,Retail,Retail,Medium,Yes,Yes,Yes,Email Marketing,"CRM, Automated chatbots","Time management, Marketing, Sales","Email Marketing, Project Management Tools, Social Media Management, Analytics, Workflow Automation, CRM",10509,75493,9426,73
"Rodriguez, Thompson and West",Finance,Retail,Small,Yes,No,No,Analytics,"CRM, Automated chatbots, Email","Inventory management, Sales, Marketing","Email Marketing, Generate Website QR Code, ERP, Inventory Management, Social Media Management, Analytics, E-commerce Platform, CRM",20747,97287,199,76
White Ltd,Food,Consulting,Large,Yes,Yes,Yes,Analytics,Email,"Marketing, Sales, Inventory management","Email Marketing, CRM, ERP, Social Media Management, Analytics, Inventory Management",49182,61944,1572,100
Campbell Inc,Retail,Service,Large,Yes,Yes,No,"ERP, Inventory Management","In-store, CRM","Sales, Marketing","Email Marketing, Social Media Management, Analytics, E-commerce Platform, CRM",47723,38460,2923,45
Keller-Mitchell,Finance,Manufacturing,Medium,Yes,Yes,No,"Analytics, Inventory Management, Social Media Management, CRM","Phone, Social media, In-store",Operational efficiency,"E-commerce Platform, Accounting, ERP",6677,79801,5656,85
Robinson-Orozco,Finance,E-commerce,Large,No,No,No,Email Marketing,"Email, Phone, Social media","Customer retention, Sales","Automated Chatbots, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, CRM",28404,62764,2111,85
Bates-Owens,Finance,Service,Medium,No,No,Yes,Email Marketing,"Automated chatbots, Phone, Email",Time management,"Workflow Automation, Website Builder, Generate Website QR Code, Project Management Tools",45144,34490,3086,41
"Mccann, Campbell and Santiago",Retail,Manufacturing,Medium,Yes,Yes,Yes,"CRM, Social Media Management","In-store, Automated chatbots, Email","Customer retention, Time management, Sales","Automated Chatbots, CRM, Analytics, Workflow Automation, Project Management Tools",39699,54460,6164,14
"Brown, Barnes and Burton",Tech,Consulting,Large,No,No,Yes,"Inventory Management, Email Marketing","In-store, Automated chatbots, Phone","Sales, Operational efficiency, Inventory management","Accounting, Generate Website QR Code, ERP, Inventory Management, Website Builder, Analytics, CRM",5602,59715,5167,70
"Miller, Clarke and Escobar",Tech,E-commerce,Small,Yes,Yes,No,"ERP, Analytics","Social media, Automated chatbots, Email","Sales, Inventory management","CRM, ERP, Analytics, E-commerce Platform, Inventory Management",17090,33627,2234,40
Khan-Murphy,Finance,Consulting,Small,No,No,Yes,"Email Marketing, Inventory Management","Social media, Email","Sales, Customer retention, Inventory management","Automated Chatbots, Generate Website QR Code, ERP, Inventory Management, Website Builder, Analytics, CRM",20205,87092,3690,34
"Griffin, Nelson and Nelson",Tech,Consulting,Medium,No,No,No,"CRM, Accounting, Analytics, Inventory Management",Automated chatbots,"Inventory management, Operational efficiency, Sales","Accounting, CRM, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, Inventory Management",39125,52301,1632,98
"Esparza, Sanders and Willis",Finance,E-commerce,Small,No,No,No,"ERP, Accounting, Inventory Management","CRM, Email, Phone","Sales, Inventory management, Time management","Project Management Tools, Generate Website QR Code, ERP, Inventory Management, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",49843,1957,5599,56
Swanson Inc,Tech,Manufacturing,Medium,No,No,No,"Accounting, Email Marketing, ERP, Social Media Management","Phone, In-store, CRM","Sales, Customer retention, Operational efficiency","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, CRM",16546,42978,6787,90
"Hood, Brown and Daniels",Retail,E-commerce,Small,No,No,Yes,ERP,Email,"Customer retention, Time management","Automated Chatbots, CRM, Generate Website QR Code, Website Builder, Workflow Automation, Project Management Tools",13335,58036,160,30
Alvarez-Allen,Tech,Service,Medium,Yes,Yes,No,"Email Marketing, Accounting, CRM","Phone, Email, Automated chatbots","Operational efficiency, Inventory management","E-commerce Platform, Accounting, Inventory Management, ERP",18947,93996,8794,77
Acosta LLC,Finance,Retail,Medium,No,No,Yes,Analytics,"Social media, Email, In-store","Inventory management, Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Website Builder, Social Media Management, Inventory Management",21806,88944,1217,79
Hernandez-Mitchell,Food,Manufacturing,Medium,No,No,No,"Analytics, Inventory Management, Email Marketing, Accounting",In-store,"Time management, Customer retention","Automated Chatbots, CRM, Generate Website QR Code, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",39033,97030,7519,54
"Ferrell, Burgess and Nguyen",Tech,Manufacturing,Small,Yes,No,No,Analytics,Automated chatbots,Sales,"E-commerce Platform, Analytics, Generate Website QR Code, CRM",10952,38509,2314,9
Collier-Black,Finance,Service,Small,Yes,Yes,Yes,"Analytics, ERP, CRM","Email, CRM","Inventory management, Marketing","ERP, Social Media Management, Email Marketing, Inventory Management",25377,42323,2469,1
"Hill, Castaneda and Luna",Finance,E-commerce,Medium,Yes,Yes,No,Analytics,"In-store, Phone, CRM","Marketing, Sales","Email Marketing, Social Media Management, Analytics, E-commerce Platform, CRM",3732,58612,5396,63
Wilson-Conner,Tech,Service,Small,Yes,No,No,"Analytics, Accounting, Inventory Management",Social media,"Time management, Marketing","Email Marketing, Generate Website QR Code, Social Media Management, E-commerce Platform, Workflow Automation, Project Management Tools",29273,21252,5041,14
"Potter, Watson and Payne",Food,Retail,Medium,No,No,Yes,Email Marketing,CRM,"Operational efficiency, Time management","Accounting, Generate Website QR Code, ERP, Website Builder, Workflow Automation, Project Management Tools",34371,46083,4324,79
Meyers-Patton,Retail,E-commerce,Large,Yes,Yes,Yes,"Accounting, Analytics, Email Marketing","In-store, Phone, Social media",Time management,"Workflow Automation, Project Management Tools",2624,80774,8110,49
Hamilton and Sons,Retail,Retail,Large,Yes,Yes,No,Accounting,"Automated chatbots, Email",Time management,"E-commerce Platform, Workflow Automation, Project Management Tools",27189,52173,7278,95
"Young, Wilson and Hunter",Tech,Manufacturing,Medium,Yes,Yes,Yes,Inventory Management,"Email, Social media, Phone","Operational efficiency, Sales, Marketing","Email Marketing, Accounting, ERP, Social Media Management, Analytics, CRM",8191,42411,7595,31
Richardson Ltd,Food,Service,Medium,Yes,No,Yes,"CRM, Analytics","In-store, Social media","Inventory management, Sales","Generate Website QR Code, ERP, Inventory Management, Analytics, CRM",7972,78173,2007,42
Vaughan-Davis,Finance,Service,Small,No,No,No,"Email Marketing, ERP, Accounting",Email,"Customer retention, Sales","Automated Chatbots, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, CRM",20162,17962,9183,73
"Nelson, Page and Randall",Retail,Service,Medium,No,No,Yes,Email Marketing,"Phone, Automated chatbots, Social media","Marketing, Sales","Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, Analytics, CRM",23305,5389,3974,16
Nichols Inc,Retail,Retail,Medium,No,No,No,"CRM, Analytics, Email Marketing",CRM,Operational efficiency,"Accounting, Generate Website QR Code, ERP, Website Builder, E-commerce Platform",7384,70468,455,27
"Johnson, Rios and Winters",Retail,Service,Large,No,No,Yes,"ERP, Email Marketing, Social Media Management","Email, Phone","Time management, Customer retention","Project Management Tools, Automated Chatbots, Generate Website QR Code, Website Builder, Workflow Automation, CRM",47116,53146,8786,73
Anderson-Mclaughlin,Retail,Consulting,Small,Yes,No,Yes,"CRM, Inventory Management","Phone, Automated chatbots, Email","Sales, Customer retention, Operational efficiency","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Analytics, CRM",8211,22187,4649,90
Wiggins-Whitney,Retail,Service,Small,No,No,Yes,ERP,Phone,"Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, Website Builder",41919,8084,3382,38
Pena Ltd,Food,Consulting,Large,Yes,No,Yes,"Email Marketing, Social Media Management, CRM, ERP","Email, In-store, CRM","Time management, Inventory management","Project Management Tools, Generate Website QR Code, ERP, Workflow Automation, Inventory Management",49979,27012,5282,59
Foster and Sons,Food,Consulting,Medium,Yes,Yes,No,"Email Marketing, CRM","Phone, In-store","Marketing, Customer retention, Operational efficiency","Email Marketing, Automated Chatbots, Accounting, ERP, Social Media Management, E-commerce Platform, CRM",47983,23726,3527,98
Nunez LLC,Food,Retail,Large,Yes,No,No,"Social Media Management, Email Marketing, Accounting",Social media,Operational efficiency,"E-commerce Platform, Accounting, Generate Website QR Code, ERP",49785,93936,1150,39
Dominguez-Maldonado,Finance,Retail,Large,No,No,No,ERP,Phone,"Inventory management, Sales, Customer retention","Automated Chatbots, CRM, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, Inventory Management",18905,41055,4936,66
Wright-Davis,Tech,Consulting,Small,Yes,No,No,"Inventory Management, ERP","In-store, CRM, Automated chatbots","Customer retention, Sales","Automated Chatbots, Generate Website QR Code, Analytics, E-commerce Platform, CRM",38576,44380,7650,58
"Martinez, Webb and Campbell",Retail,E-commerce,Medium,Yes,No,No,"Email Marketing, CRM, ERP",CRM,Sales,"E-commerce Platform, Analytics, Generate Website QR Code, CRM",39339,97937,6865,47
Castro Group,Finance,Consulting,Medium,Yes,Yes,Yes,"Social Media Management, Inventory Management","In-store, Email","Customer retention, Time management, Operational efficiency","Automated Chatbots, Accounting, CRM, ERP, Workflow Automation, Project Management Tools",40194,57704,5641,87
"Jackson, Schwartz and Holloway",Tech,Manufacturing,Small,Yes,Yes,No,Inventory Management,Automated chatbots,"Operational efficiency, Marketing, Inventory management","Email Marketing, Accounting, ERP, Social Media Management, E-commerce Platform, Inventory Management",38838,30727,2814,39
Black Inc,Finance,Consulting,Large,Yes,No,No,"Analytics, CRM","Email, Automated chatbots, Phone",Customer retention,"E-commerce Platform, Generate Website QR Code, CRM, Automated Chatbots",7893,85229,7253,45
Massey and Sons,Food,E-commerce,Medium,Yes,Yes,No,"ERP, Inventory Management","Automated chatbots, CRM, Social media","Marketing, Customer retention","Email Marketing, Automated Chatbots, Social Media Management, E-commerce Platform, CRM",1389,77285,4751,28
Owens-King,Food,E-commerce,Small,No,No,No,"Email Marketing, CRM, ERP","Automated chatbots, Phone",Customer retention,"Automated Chatbots, Generate Website QR Code, Website Builder, E-commerce Platform, CRM",7642,47250,2639,25
"Bishop, Shannon and Olson",Food,Retail,Medium,Yes,No,No,"Inventory Management, ERP","Phone, CRM","Inventory management, Time management, Operational efficiency","Project Management Tools, Accounting, Generate Website QR Code, ERP, E-commerce Platform, Workflow Automation, Inventory Management",20223,28766,322,44
"Haas, Wilson and Murphy",Retail,E-commerce,Medium,No,No,Yes,Inventory Management,"Phone, Automated chatbots","Customer retention, Marketing","Email Marketing, Automated Chatbots, Generate Website QR Code, Social Media Management, Website Builder, CRM",39453,34850,8539,71
Henson Inc,Retail,Manufacturing,Large,Yes,No,No,"Social Media Management, Inventory Management, Email Marketing","In-store, Email, Phone",Customer retention,"E-commerce Platform, Generate Website QR Code, CRM, Automated Chatbots",29798,16261,3527,34
Sullivan Group,Retail,Manufacturing,Small,Yes,Yes,Yes,"CRM, Email Marketing","Phone, CRM",Time management,"Workflow Automation, Project Management Tools",21289,51539,2902,33
Wood Inc,Food,Retail,Large,No,No,No,"Social Media Management, Email Marketing, CRM","Social media, Email, Automated chatbots",Marketing,"Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, E-commerce Platform",10722,80434,3671,88
Montgomery and Sons,Retail,Consulting,Large,No,No,No,"Analytics, Accounting, ERP",Phone,"Operational efficiency, Sales","Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, CRM",17919,3804,9382,6
Johnson Group,Food,Retail,Small,No,No,Yes,"CRM, ERP",Phone,Time management,"Workflow Automation, Website Builder, Generate Website QR Code, Project Management Tools",25310,35810,6069,70
"Walton, Jacobson and Walton",Food,Service,Small,No,No,No,"CRM, Inventory Management","Phone, CRM","Marketing, Sales","Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, Analytics, E-commerce Platform, CRM",14170,72152,3172,41
"Martinez, Ayers and Hernandez",Finance,Retail,Small,No,No,No,"Email Marketing, ERP, Inventory Management, CRM","Automated chatbots, Email","Marketing, Operational efficiency, Inventory management","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, Website Builder, E-commerce Platform, Inventory Management",31784,18773,1626,66
Johnson-Shepard,Finance,Retail,Large,Yes,No,Yes,Analytics,"In-store, Email","Marketing, Operational efficiency, Inventory management","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, Inventory Management",3086,43738,1983,66
"Sandoval, Wallace and Wang",Tech,Manufacturing,Small,No,No,No,"Social Media Management, ERP, Accounting","Phone, CRM, Email",Marketing,"Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, E-commerce Platform",35589,3471,4766,3
Knox-Vaughn,Food,Service,Medium,Yes,Yes,No,"Social Media Management, ERP, CRM","In-store, Email, Automated chatbots","Inventory management, Time management, Marketing","Email Marketing, Project Management Tools, ERP, Social Media Management, E-commerce Platform, Workflow Automation, Inventory Management",43780,42554,5813,98
Strong Inc,Tech,Service,Small,No,No,Yes,"Email Marketing, CRM, Inventory Management",Social media,"Sales, Inventory management, Operational efficiency","Accounting, CRM, Generate Website QR Code, ERP, Website Builder, Analytics, Inventory Management",44381,79841,2410,88
Espinoza PLC,Finance,Retail,Small,Yes,Yes,No,"Analytics, Accounting",CRM,Inventory management,"E-commerce Platform, ERP, Inventory Management",15241,71343,9288,24
Coleman Inc,Tech,Consulting,Medium,No,No,Yes,Email Marketing,"Social media, Phone, In-store","Marketing, Time management","Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, Workflow Automation, Project Management Tools",17457,76590,4649,56
Wilson PLC,Finance,Manufacturing,Small,Yes,No,Yes,"Social Media Management, CRM","Automated chatbots, Social media",Sales,"Analytics, Generate Website QR Code, CRM",15672,96072,4187,48
Morse-Nash,Tech,Consulting,Small,Yes,Yes,Yes,"Inventory Management, CRM, Social Media Management","CRM, Automated chatbots","Marketing, Inventory management, Customer retention","Email Marketing, Automated Chatbots, ERP, Inventory Management, Social Media Management, CRM",13918,42346,1054,11
Jacobs-Chavez,Tech,E-commerce,Medium,No,No,No,"Inventory Management, Analytics, Email Marketing, Accounting",Email,"Customer retention, Sales, Time management","Automated Chatbots, Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",28332,36496,9166,25
"Cohen, Todd and Byrd",Tech,Service,Large,No,No,No,Social Media Management,"Phone, Email, Social media","Sales, Marketing","Email Marketing, Generate Website QR Code, Website Builder, Analytics, Social Media Management, E-commerce Platform, CRM",9559,1297,2041,2
"Brown, Torres and Davis",Tech,E-commerce,Medium,Yes,No,Yes,CRM,"In-store, Social media, CRM","Customer retention, Operational efficiency, Sales","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Analytics, CRM",48642,99063,1253,18
"Bowen, Hartman and Murphy",Tech,Service,Medium,No,No,No,"CRM, Analytics, Accounting","In-store, CRM, Social media","Time management, Customer retention, Operational efficiency","Automated Chatbots, Accounting, CRM, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",23409,18716,4381,22
"Owens, Ball and Bailey",Finance,Manufacturing,Large,Yes,No,Yes,"CRM, Social Media Management",Email,"Time management, Operational efficiency, Customer retention","Automated Chatbots, Accounting, CRM, Generate Website QR Code, ERP, Workflow Automation, Project Management Tools",49180,50227,4180,76
Norris-Wilson,Retail,Retail,Small,No,No,No,"Accounting, ERP, Inventory Management, Analytics","In-store, Social media","Inventory management, Customer retention","Automated Chatbots, CRM, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, Inventory Management",44796,44684,3566,81
Miller Inc,Retail,Service,Medium,No,No,Yes,"ERP, Email Marketing, Analytics, Social Media Management","CRM, Email, Phone","Inventory management, Operational efficiency","Accounting, Generate Website QR Code, ERP, Website Builder, Inventory Management",18311,69087,1136,24
Saunders Ltd,Retail,Service,Small,No,No,No,ERP,"Phone, In-store, Email","Customer retention, Operational efficiency","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, CRM",28433,37470,1835,9
"Lynch, Andrade and Savage",Finance,Service,Large,Yes,Yes,Yes,"CRM, Inventory Management, Accounting, ERP","Automated chatbots, In-store",Customer retention,"CRM, Automated Chatbots",18772,74491,4056,24
"Parks, Hawkins and Wade",Tech,E-commerce,Large,No,No,Yes,Email Marketing,Email,"Time management, Marketing","Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, Workflow Automation, Project Management Tools",45314,30367,4587,95
"Wolfe, Davis and Garcia",Food,Consulting,Small,Yes,No,Yes,"Social Media Management, CRM",Social media,Inventory management,"ERP, Generate Website QR Code, Inventory Management",43195,1253,7662,61
"Duran, King and Valentine",Tech,E-commerce,Medium,Yes,No,No,"Inventory Management, ERP, Social Media Management, Accounting",Phone,"Marketing, Operational efficiency","Email Marketing, Accounting, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform",7188,84646,413,9
"Cox, Bailey and Campbell",Food,Manufacturing,Small,Yes,Yes,Yes,"CRM, Inventory Management, Accounting","CRM, Phone","Customer retention, Operational efficiency","ERP, Accounting, CRM, Automated Chatbots",15742,78085,3003,9
"Flowers, Hayes and Gray",Retail,Consulting,Small,No,No,Yes,"Social Media Management, Accounting","Phone, Social media, Automated chatbots",Sales,"Analytics, Website Builder, Generate Website QR Code, CRM",35738,48319,7000,97
Miranda Group,Tech,Manufacturing,Medium,No,No,Yes,Social Media Management,Automated chatbots,"Time management, Inventory management","Project Management Tools, Generate Website QR Code, ERP, Website Builder, Workflow Automation, Inventory Management",35418,28471,3103,66
Young LLC,Food,E-commerce,Small,Yes,Yes,Yes,Inventory Management,"Phone, Automated chatbots, Email",Inventory management,"ERP, Inventory Management",40665,18729,9776,69
Woods Ltd,Food,Manufacturing,Large,Yes,No,Yes,"Email Marketing, Accounting","Email, In-store, Phone",Inventory management,"ERP, Generate Website QR Code, Inventory Management",27562,69124,3166,2
"Lopez, Hernandez and Jones",Food,Service,Large,Yes,No,No,Accounting,"Email, Social media",Time management,"E-commerce Platform, Workflow Automation, Generate Website QR Code, Project Management Tools",39103,26986,8856,9
"Harris, Smith and Villanueva",Food,E-commerce,Small,No,No,Yes,"Email Marketing, ERP, Social Media Management, CRM","Email, In-store, Phone","Time management, Customer retention, Operational efficiency","Project Management Tools, Automated Chatbots, Accounting, Generate Website QR Code, ERP, Website Builder, Workflow Automation, CRM",1066,61755,4709,13
Scott LLC,Tech,Consulting,Medium,No,No,No,"Social Media Management, ERP, Inventory Management","Phone, In-store",Marketing,"Email Marketing, Generate Website QR Code, Social Media Management, Website Builder, E-commerce Platform",37305,65185,7341,96
Rivera-Kim,Food,Manufacturing,Medium,Yes,Yes,No,"Analytics, Inventory Management","Phone, Email, CRM","Customer retention, Time management, Sales","Automated Chatbots, CRM, Analytics, E-commerce Platform, Workflow Automation, Project Management Tools",4239,17288,330,47
"Atkins, Vaughan and Hartman",Food,Retail,Small,Yes,No,Yes,"Social Media Management, Email Marketing","Social media, CRM","Customer retention, Operational efficiency, Time management","Automated Chatbots, Project Management Tools, Accounting, Generate Website QR Code, ERP, Workflow Automation, CRM",2502,28208,8401,31
"Smith, Cox and Kelly",Food,Retail,Medium,No,No,Yes,Social Media Management,"Phone, Email, CRM",Sales,"Analytics, Website Builder, Generate Website QR Code, CRM",46344,36087,6098,35
Jones LLC,Retail,Retail,Large,Yes,No,No,"Social Media Management, CRM",Email,"Inventory management, Operational efficiency, Time management","Project Management Tools, Accounting, Generate Website QR Code, ERP, E-commerce Platform, Workflow Automation, Inventory Management",629,42895,6379,20
Davenport LLC,Finance,E-commerce,Large,No,No,No,"Social Media Management, Analytics, CRM, Accounting","Social media, Email, Automated chatbots","Customer retention, Sales","Automated Chatbots, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, CRM",41423,55684,4226,15
"Sutton, Williams and Stein",Food,Service,Medium,Yes,Yes,Yes,"Social Media Management, ERP, Email Marketing","Phone, Automated chatbots, Social media","Operational efficiency, Time management, Customer retention","Project Management Tools, Automated Chatbots, Accounting, ERP, Workflow Automation, CRM",47520,27356,540,29
"Olson, Hernandez and White",Finance,Retail,Medium,Yes,No,No,"Email Marketing, ERP","Email, Phone","Customer retention, Marketing, Inventory management","Email Marketing, Automated Chatbots, Generate Website QR Code, ERP, Inventory Management, Social Media Management, E-commerce Platform, CRM",2822,57398,6087,18
"Gordon, Schmidt and Trujillo",Food,E-commerce,Medium,No,No,Yes,Inventory Management,Social media,Inventory management,"ERP, Website Builder, Generate Website QR Code, Inventory Management",36733,35481,2823,28
May Group,Food,Service,Medium,No,No,Yes,"Accounting, Social Media Management, Inventory Management","Automated chatbots, CRM, Phone","Sales, Inventory management","CRM, Generate Website QR Code, ERP, Website Builder, Analytics, Inventory Management",7987,14712,6923,62
Jackson-Snyder,Finance,Service,Large,No,No,Yes,"Email Marketing, Analytics, Social Media Management","CRM, In-store","Customer retention, Time management, Sales","Automated Chatbots, CRM, Generate Website QR Code, Website Builder, Analytics, Workflow Automation, Project Management Tools",49518,41259,8597,86
"Andersen, Robertson and Gray",Finance,Manufacturing,Large,Yes,Yes,No,"Social Media Management, Email Marketing, ERP","Phone, Automated chatbots, Social media",Operational efficiency,"E-commerce Platform, Accounting, ERP",6074,24461,160,6
"Liu, Obrien and Fitzgerald",Tech,Consulting,Large,Yes,No,Yes,"CRM, Accounting, Analytics, Inventory Management","In-store, Automated chatbots","Customer retention, Time management, Operational efficiency","Automated Chatbots, Accounting, CRM, Generate Website QR Code, ERP, Workflow Automation, Project Management Tools",18701,8518,127,94
Nelson-Green,Retail,Manufacturing,Small,No,No,Yes,ERP,"Email, In-store, CRM","Sales, Customer retention","Automated Chatbots, Generate Website QR Code, Website Builder, Analytics, CRM",1365,84482,2719,21
Bradley-Thompson,Food,Retail,Large,No,No,Yes,"Email Marketing, Accounting, Inventory Management","In-store, CRM","Sales, Time management, Operational efficiency","Project Management Tools, Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, Workflow Automation, CRM",10878,82781,5442,33
Blair-Carter,Food,Consulting,Large,No,No,No,"Social Media Management, Email Marketing, CRM","In-store, Social media, Automated chatbots","Sales, Time management","Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",8610,49683,5885,15
"Farmer, Martinez and Thomas",Retail,Service,Large,No,No,Yes,"Analytics, Social Media Management, ERP","Email, Social media, In-store","Time management, Customer retention, Sales","Project Management Tools, Automated Chatbots, Generate Website QR Code, Website Builder, Analytics, Workflow Automation, CRM",4298,93095,5300,34
Jordan PLC,Food,Service,Small,No,No,Yes,Inventory Management,Social media,Customer retention,"Website Builder, Generate Website QR Code, CRM, Automated Chatbots",17566,78989,3682,57
"Buchanan, Skinner and Dunlap",Food,Manufacturing,Large,No,No,No,ERP,Phone,"Operational efficiency, Sales","Accounting, Generate Website QR Code, ERP, Website Builder, Analytics, E-commerce Platform, CRM",17874,81955,1833,59
Randolph-Sanders,Finance,Retail,Medium,No,No,Yes,"CRM, Email Marketing, ERP, Social Media Management",Social media,Customer retention,"Website Builder, Generate Website QR Code, CRM, Automated Chatbots",39798,20327,7601,62
"Johnson, Martinez and Smith",Tech,Service,Large,Yes,Yes,No,ERP,"Email, Social media, Automated chatbots",Operational efficiency,"E-commerce Platform, Accounting, ERP",37427,26021,5777,24
Gillespie LLC,Finance,Retail,Large,Yes,No,Yes,Social Media Management,"Social media, CRM","Time management, Marketing","Email Marketing, Generate Website QR Code, Social Media Management, Workflow Automation, Project Management Tools",20062,15386,8051,87
Donovan and Sons,Tech,E-commerce,Medium,Yes,No,No,"Inventory Management, Email Marketing",Social media,Customer retention,"E-commerce Platform, Generate Website QR Code, CRM, Automated Chatbots",32705,39991,238,73
Smith-Wilson,Retail,Manufacturing,Large,Yes,Yes,No,"CRM, Accounting",Phone,Sales,"E-commerce Platform, Analytics, CRM",21552,1553,4482,86
King-Ward,Finance,Retail,Large,Yes,No,Yes,"Email Marketing, CRM, Inventory Management","CRM, Phone",Customer retention,"Generate Website QR Code, CRM, Automated Chatbots",41168,97911,5760,15
Harrington-Pittman,Retail,Service,Large,No,No,No,"ERP, Email Marketing, Analytics, Inventory Management",Phone,"Operational efficiency, Customer retention, Inventory management","Automated Chatbots, Accounting, Generate Website QR Code, ERP, Inventory Management, Website Builder, E-commerce Platform, CRM",11322,2903,1361,98
Thompson PLC,Tech,Manufacturing,Small,No,No,Yes,Analytics,Social media,"Time management, Operational efficiency, Sales","Accounting, CRM, Generate Website QR Code, ERP, Website Builder, Analytics, Workflow Automation, Project Management Tools",30595,66112,5513,4
Castro-Lopez,Finance,E-commerce,Medium,Yes,Yes,No,"CRM, Inventory Management, ERP","In-store, Email, Phone","Time management, Inventory management, Sales","Project Management Tools, CRM, ERP, Analytics, E-commerce Platform, Workflow Automation, Inventory Management",369,86745,7378,23
Smith LLC,Food,Retail,Small,Yes,Yes,No,Accounting,Automated chatbots,"Customer retention, Marketing, Inventory management","Email Marketing, Automated Chatbots, ERP, Inventory Management, Social Media Management, E-commerce Platform, CRM",1610,32019,5448,82
James Group,Food,Consulting,Medium,No,No,No,ERP,"In-store, Email","Sales, Time management","Project Management Tools, Generate Website QR Code, Website Builder, Analytics, E-commerce Platform, Workflow Automation, CRM",40181,89770,5331,71
